SL A,competitive,N
SL B,competitive,N
SL C,competitive,N
SL D,competitive,N
SL E,competitive,N
SL P,competitive,N
Fierce,competitive,N
Rage,competitive,Y
Jazz Line,competitive,N
Elite Tap,competitive,N
Elite Tap Technique,recreational,N
Ballet IV,recreational,N
Adv Jazz IV,recreational,N
Teen Jazz/Hip Hop,recreational,N
Adv Jazz IIV,recreational,N
Jr Musical Theater,competitive,Y
Ballet III,recreational,N
Ballet II B,recreational,N
Teen Tap,competitive,N
Teen Tap Technique,recreational,N
Jr Tap,competitive,N
Jr Tap Technique,recreational,N
Jr Lyrical/Contemporary,competitive,N
Jr Jazz,competitive,N
Pre-Team,competitive,Y
NS Crew,competitive,Y
Mini Crew,competitive,Y
Teen Advanced,competitive,N
Tippy Toes,recreational,N
Jr Perf Team,recreational,N
Jazz/Hip Hop,recreational,N
Children's Team,competitive,N
Modern and Lyrical,recreational,N
All Boys Hip Hop,recreational,N
Mini Pom Perf,recreational,N
Kids Jazz/Hip Hop,recreational,N
Princess Pre-Ballet,recreational,N
Funk Jazz/Hip Hop,recreational,N
Kids Jazz/Hip Hop/Tap,recreational,N
Adv Turns/Leaps,recreational,N
Lyrical/Improv,recreational,N
Beg Kids Jazz/Hip Hop,recreational,N
Teen Performance,recreational,N
Kindergarten Jazz/Hip Hop,recreational,N
Contemporary Modern Lyrical,recreational,N
Teen Jazz/Hip Hop,recreational,N
Pre-Dance,recreational,N
Teen Jazz/Hip Hop,recreational,N
Hot Jazz Technique,recreational,N
Mini Performance,recreational,N
Jr Performance Technique,recreational,N
Kids Hop Hop,recreational,N
Pre-Team Ballet,recreational,N
Hippity Hop,recreational,N
Beg/Int Turns/Leaps,recreational,N
Int Contemporary,recreational,N
Beg Kids Jazz/Tap,recreational,N
